ID,Summary,Steps for reproduce,Actual result,Expected result,Severity
"C2682
","
Регистрация пользователя при вводе некорректных данных в обязательные поля",
"1.Перейти на форму регистрации пользователя 
2.Заполнить обязательные поля ""First Name * Last Name * Address 1 * 
 * City произвольным набором  тегов ""{{{}}}"" ""<<<>>>"", выбрать страну 
из выпадающего списка ""Country *"". 
3.Заполнить поле postcode набором из 5 цифр
4.Заполнить поле phone рандомным набором цифр
5.Заполнить поле email в формате ""{{{{{@nvfejs.ru""
","Аккаунт создан.Происходит редирект на главную страницу. На главной странице отображается раздел ""аккаунт""",
"Аккаунт не создан. Появляется всплывающее окно возле поля ""First name""
""введите данные в указанном формате.",
Высокая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2792,"Чек-бокс ""remember me"" не запоминает пароль",
"1.Ввести email и пароль ,под которыми была совершена регистрация пользователя    
2.Поставить галочку на чек-боксе ""remember me"" и нажать на кнопку ""login""                                                     
3.Нажать кнопку ""logout"" ","В формах ""email"" и ""password"" не сохраняется пароль и логин, под которым была совершена регистрация","В формах ""email"" и ""пароль"" сохранился ранее введённый пароль и email
",Высокая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2800,После смены пароля не приходит письмо на email,"1.Пользователь авторизирован на сайте                                                         2.Нажать на кнопку ""edit account""                                                                 3.В форму ""new password"" ввести новый пароль, подтвердить пароль в форме ""confirm new password"", нажать кнопку ""save"".Проверить email                                                         4.Выйти из аккаунта, ввести в соответствующие формы email и новый пароль,нажать ""login""",На email не высылается письмо о смене пароля,"Появляется сообщение ""Changes were successfully saved"", выслано письмо
на email о смене пароля",Высокая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2801,Некорректная смена имени при редактировании аккаунта,"Поменять данные в полях ""First Name"" и ""Last Name "" нажать кнопку ""save""",После сохранения буквы имени заменяются другими буквами и символами ,Новые данные успешно сохранены,Низкая
,,,,,
,,,,,
"C2830
","При выборе русского языка в региональных настройках, сайт переводится частично","1.Открыть региональные настройки (линк "" Change"" в самом верху сайта посередине)
2.В поле ""language"" из выпадающего списка языков выбрать русский
3.Нажать кнопку ""save""
4.Просмотреть как минимум главную страницу сайта

",После выбора и сохранения русского языка как минимум главная страница сайта переводится на русский язык частично,Главная страница сайта полностью отображается на русском языке,Низкая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2831,При выборе армянского языка сайт не переводится на него вообще,"1.Открыты региональные настройки (линк "" Change"" в самом верху сайта посередине)
2.В поле ""language"" из выпадающего списка языков выбрать armenian
3.Нажать кнопку ""save""
4.Просмотреть как минимум главную страницу сайта

",После выбора и сохранения армянского языка как минимум главная страница сайта не переводится на него, Главная страница сайте полностью отображается на армянском языке,Низкая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2834,Некорректно отображается цена товаров в euros,"1.Открыты региональные настройки 
1.Открыть региональные настройки 
2.В поле ""Currency"" в выпадающем списке валюты выбрать euros
3.Нажать кнопку ""save""
4.В разделе категории нажать ""утки""","После выбора валюты euros и сохранения настроек, цена в каталоге отображается в формате ""?0?""",Стоимость товаров отображается в euros,Высокая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2834.2,Нет отображения значка валюты рядом с ценой ,"1.Открыть региональные настройки
2.В поле ""Currency"" в выпадающем списке валюты выбрать рубли
3.Нажать кнопку ""save""
4.В разделе категории нажать ""утки""","После выбора валюты рубли и сохранения настроек не отображается значок,обозначающий рубли рядом с ценой",Стоимость товаров отображается в рублях,Высокая 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2834.3,Не отображается цена в drum,"1.Открыть региональные настройки
2.В поле ""Currency"" в выпадающем списке валюты выбрать dram
3.Нажать кнопку ""save""
4.В разделе категории нажать ""утки""","После выбора валюты drum и сохранения настроек, цена в каталоге товаров не отображается ""0""",Стоимость товаров отображается в dram,Высокая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2837,Несоответствие категорий товаров в трёх блоках сайта,"1.Открыть главную страницу сайта 2.Визуально просмотреть наличие и соответствие всех категорий товаров в шапке, левом блоке, футере сайта                         ","Наличие категорий товаров в хейдере, левом блоке и футере не соответствут друг другу",Во всех трёх блоках сайта категории соответствуют друг другу,Высокая
,,,,,
,,,,,
,,,,,
C2835,"Не отображается цена товара, включающая налог","1.Открыть региональные настройки
2.Под разделом ""Display prices"" выбрать радиокнопку  ""Incl. Tax""
3.Нажать save
4.В разделе категории нажать утки
5.Кликнуть на любой товар","Цена, включающая налог не отображается рядом с иконкой товара","Отображается стоимость товаров, включающая налог",Низкая
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
