ID,Summary,Steps for reproduce,Actual result,Expected result,Severity
1,При выборе языка Armenian в Regional Settings ,1) В футере нажать кнопку Regional Settings                                                                                                                            ,"Не отображаются названия разделов в каталоге (в футере, хедере и боковом меню)",Названия разделов в каталоге отображаются,Высокая
,пропадают названия разделов в каталоге, 2) В разделе Language выбрать Armenian,,,
,,,,,
,,,,,
2,В карточке товара не меняется стоимость с налогом или без,1) В футере нажать кнопку Regional Settings,Стоимость отображается без учёта налога ,Стоимость отображается с учетом налога,Высокая
,,2) В разделе Display Prices выбрать Incl. Tax,,,
,,3) Нажать Save,,,
,,4) Перейти в карточку товара,,,
,,,,,
,,,,,
3,В карточке товара не отображается стоимость в евро,1) В футере нажать кнопку Regional Settings,"Стоимость всех уток 0, валюта отображается как ""?""",Стоимость отображается согласно прайсу,Высокая
,,2) В разделе Currency выбрать Euro,,,
,,3) Нажать Save,,,
,,4) Перейти в раздел Утки,,,
,,,,,
,,,,,
4,В карточке товара не отображается стоимость в Dram,1) В футере нажать кнопку Regional Settings,Стоимость всех уток 0,Стоимость отображается согласно прайсу,Высокая
,,2) В разделе Currency выбрать Dram,,,
,,3) Нажать Save,,,
,,4) Перейти в раздел Утки,,,
,,,,,
,,,,,
5,При выборе русского языка в Regional Settings,1) В футере нажать кнопку Regional Settings,"Не все названия переведены на русский язык,",,Средняя
,"не все названия переводятся на русский язык,",2) В разделе Language выбрать Русский,некоторые символы отображаются как ?,Все названия переведены на русский язык,
,некоторые символы отображаются как ?,3) Нажать Save,,,
,,4) Перейти на главную страницу,,,
,,,,,
,,,,,
6,"Чек-бокс ""remember me"" не запоминает пароль","1) Ввести email ""anna.123@gmail.com"", пароль ""123456""","В формах ""email"" и ""password"" не ","В формах ""email"" и ""пароль"" ",Средняя
,,"2) Поставить галочку на чек-боксе ""remember me""",сохраняется пароль и логин,сохранились введённые,
,,"3) Нажать на кнопку ""login""                                                     ",,пароль и email,
,,"3) Нажать кнопку ""logout"" ",,,
,,,,,
,,,,,
7,Некорректная смена имени при редактировании аккаунта ,"1) Открыть ""Edit account"" ",После сохранения имя и фамилия ,Новые данные успешно сохранены,Средняя
,,"2) Поменять данные в  ""First Name"" и ""Last Name """,заменяются другими буквами и символами,,
,,"3) Нажать ""save""",,,
,,,,,
,,,,,
8,"В корзину добавляется товар, которого нет на складе",1) Проверить наличие товара на складе,Товар добавлен в корзину,Товар не добавлен в корзину,Высокая
,,"2) Кликнуть на товар любой товар, возле иконки ",,,
,,"   которого написано ""Stock Status: Sold out""",,,
,,"3) Выбрать 1 шт товара, нажать ""add to cart""",,,
,,4) Кликнуть на Checkout в правом верхнем углу сайта,,,
,,,,,
,,,,,
9,Информация о товаре написана на латинском языке в англоязычной версии сайта,"1) Открыть категорию товаров "" Rubber Ducks""",Информация о товаре отображается на латинском языке,Информация о товаре отображается в,Высокая
,,"2) Выбрать любой товар, кликнуть по нему",," соответствии с языком, выбранным в настройках",
,,3) Проверить информацию о товаре (установлен англ.яз),,,
,,,,,
,,,,,
10,В боковом меню есть пустой раздел,1) Установить англоязычную версию сайта,Отображаются незаполненный раздел меню,Все разделы меню заполнены,Низкая
,,2) На главной странице в боковом меню нажать Rubber Ducks,,,
,,,,,
,,,,,
11,В истории заказов не отображаются совершенные заказы,1) Авторизоваться на сайте,История заказов отсуствует,История заказов отображается,Средняя
,,2) Совершить 1 заказ,,,
,,3) Перейти в историю заказов в футере сайта,,,
,,,,,
,,,,,
12,"Производится заказ товара, которого нет в наличии",1) Перейти в каталог товаров,Заказ товара оформлен,"Заказ не оформлен, так как товара нет в наличии",Высокая
,,"2) Добавить в корзину товар ""Red Duck""",,,
,,"3) Нажать на кнопку ""Подтвердить заказ""",,,
,,,,,
,,,,,
13,Нет отображения значка валюты рядом с ценой ,1.Открыть региональные настройки,"Не отображается значок,",Значок валюты отображается рядом с ценой,Низкая
,,"2.В поле ""Currency"" в выпадающем списке выбрать рубли",обозначающий рубли рядом с ценой,,
,,"3.Нажать кнопку ""save""",,,
,,"4.В разделе категории нажать ""утки""",,,
,,,,,
,,,,,
,,,,,
,,Окружение: Windows 10,,,
,,Браузер: Chrome Версия 102.0.5005.115,,,
